Data,Valor,21,62,125,252
2019-04-04,94333,37,39,61,69
2019-04-05,93285,41,40,64,70
2019-04-08,94578,38,40,60,69
2019-04-09,94588,33,35,60,69
2019-04-10,95923,32,35,57,68
2019-04-11,95045,33,31,55,67
2019-04-12,96552,25,29,55,66
2019-04-15,96236,28,28,55,66
2019-04-16,96188,32,31,55,65
2019-04-17,96353,31,28,53,63
2019-04-18,95528,40,30,55,66
2019-04-22,96008,44,33,55,65
2019-04-23,95009,46,39,55,66
2019-04-24,94389,47,35,55,65
2019-04-25,95597,54,40,56,68
2019-04-26,94808,51,39,56,66
2019-04-29,94258,49,39,53,66
2019-04-30,91727,50,36,53,65
2019-05-02,92092,44,37,51,64
2019-05-03,91623,45,36,53,66
2019-05-06,90024,44,36,49,63
2019-05-07,89993,47,38,48,63
2019-05-08,91946,56,45,54,65
2019-05-09,94485,53,45,53,64
2019-05-10,94361,50,45,52,65
2019-05-13,93910,38,36,46,62
2019-05-14,93628,43,36,48,61
2019-05-15,94864,30,35,46,61
2019-05-16,96393,27,30,42,61
2019-05-17,96567,28,31,42,60
2019-05-20,97457,37,38,46,61
2019-05-21,97030,50,44,49,62
2019-05-22,97020,51,44,50,63
2019-05-23,97380,50,43,48,63
2019-05-24,95999,44,40,46,62
2019-05-27,97205,54,44,50,65
2019-05-28,97821,60,53,50,65
2019-05-29,97467,65,52,52,65
2019-05-30,98960,69,52,57,64
2019-05-31,98321,68,55,55,64
2019-06-03,98774,69,57,57,65
2019-06-04,98040,67,58,57,64
2019-06-05,97623,63,56,54,65
2019-06-06,99404,71,58,58,65
2019-06-07,100303,73,63,60,66
2019-06-10,102013,74,61,58,67
2019-06-11,102062,76,64,59,68
2019-06-12,100093,74,63,59,67
2019-06-13,100689,76,67,60,69
2019-06-14,100724,74,65,60,68
2019-06-17,100967,68,66,60,68
2019-06-18,101340,71,69,62,70
2019-06-19,100605,78,71,65,73
2019-06-21,102043,81,74,70,74
2019-06-24,103636,81,77,69,76
2019-06-25,104089,75,73,67,74
2019-06-26,104530,77,75,67,75
2019-06-27,105817,75,73,68,75
2019-06-28,105146,79,76,69,74
2019-07-01,103906,76,75,68,75
2019-07-02,103803,73,77,67,74
2019-07-03,103775,81,78,71,75
2019-07-04,103856,84,82,75,79
2019-07-05,104717,84,84,75,78
2019-07-08,103452,86,85,76,78
2019-07-10,103949,84,89,78,80
2019-07-11,103704,82,87,77,80
2019-07-12,104120,81,88,74,80
2019-07-15,102655,80,86,74,80
2019-07-16,102819,78,86,74,80
2019-07-17,103483,76,86,74,80
2019-07-18,102933,77,87,77,80
2019-07-19,101812,69,85,75,78
2019-07-22,102126,71,81,74,77
2019-07-23,102674,62,81,74,75
2019-07-24,100098,62,80,73,75
2019-07-25,102164,57,79,71,75
2019-07-26,102782,59,78,73,76
2019-07-29,104115,62,79,74,76
2019-07-30,103996,64,81,72,76
2019-07-31,101915,59,78,72,75
2019-08-01,103299,58,76,71,75
2019-08-02,100258,52,76,70,75
2019-08-05,99057,44,74,66,72
2019-08-06,99806,50,75,68,73
2019-08-07,99469,53,74,68,74
2019-08-08,99222,59,78,72,75
2019-08-09,101202,59,77,73,76
2019-08-12,100011,57,73,71,72
2019-08-13,97667,61,73,72,72
2019-08-14,96430,46,67,66,71
2019-08-15,97276,35,59,63,68
2019-08-16,98194,43,59,62,69
2019-08-19,100524,45,57,62,70
2019-08-20,101135,44,58,63,68
2019-08-21,100626,46,59,65,70
2019-08-22,99681,45,61,65,69
2019-08-23,101201,38,51,61,68
2019-08-26,102243,32,46,60,66
2019-08-27,102935,30,45,60,66
2019-08-28,103181,32,48,61,67
2019-08-29,103032,48,56,66,71
2019-08-30,103446,61,62,69,73
2019-09-02,104371,58,61,68,71
2019-09-03,103501,52,57,67,70
2019-09-04,103680,59,62,67,71
2019-09-05,104617,63,59,69,73
2019-09-06,104532,56,63,67,73
2019-09-09,104339,53,60,68,72
2019-09-10,104817,57,57,68,73
2019-09-11,104638,68,66,71,73
2019-09-12,103876,66,63,71,73
2019-09-13,104481,58,60,69,73
2019-09-16,105319,56,56,69,73
2019-09-17,105078,62,59,71,74
2019-09-18,104745,62,62,72,75
2019-09-19,104053,63,58,72,74
2019-09-20,101031,63,59,73,73
2019-09-23,101516,59,59,72,72
2019-09-24,102551,51,54,68,72
2019-09-25,100573,46,51,69,71
2019-09-26,99981,51,59,69,71
2019-09-27,101249,48,54,68,71
2019-09-30,101817,55,56,70,72
2019-10-01,103832,51,54,70,72
2019-10-02,104302,35,47,67,68
2019-10-03,104490,37,50,66,68
2019-10-04,105423,46,50,68,69
2019-10-07,105016,35,45,63,67
2019-10-08,104729,34,42,61,65
2019-10-09,106022,40,48,62,68
2019-10-10,107381,39,48,64,67
2019-10-11,107544,50,52,64,68
2019-10-14,106986,54,54,66,67
2019-10-15,107364,50,50,62,67
2019-10-16,108187,52,53,63,67
2019-10-17,107556,56,53,66,68
2019-10-18,108408,56,54,67,68
2019-10-21,107220,61,58,68,68
2019-10-22,108196,69,62,71,70
2019-10-23,108601,65,61,72,69
2019-10-24,108451,59,61,68,69
2019-10-25,108336,59,60,67,68
2019-10-28,109581,60,61,68,69
2019-10-29,107629,57,62,68,69
2019-10-30,108215,63,63,70,69
2019-10-31,106785,57,60,68,69
2019-11-01,105914,70,67,74,69
2019-11-04,106557,69,66,74,72
2019-11-05,106347,64,66,73,71
2019-11-06,105618,67,69,74,71
2019-11-07,107497,70,69,75,73
2019-11-08,108692,61,66,70,72
2019-11-11,108424,59,66,71,72
2019-11-12,107059,47,62,66,72
2019-11-13,107708,48,60,66,72
2019-11-14,108290,58,65,67,70
2019-11-18,108233,53,65,65,70
2019-11-19,109061,54,65,67,69
2019-11-21,108956,60,66,70,74
2019-11-22,110301,67,72,70,74
2019-11-25,110622,67,72,71,74
2019-11-26,111126,59,66,67,73
2019-11-27,110977,57,65,67,72
2019-11-28,110672,65,70,70,74
2019-11-29,110964,64,70,70,74
2019-12-02,112200,63,73,70,74
2019-12-03,112565,63,74,72,76
2019-12-04,111896,70,74,72,77
2019-12-05,112616,72,74,72,76
2019-12-06,114315,78,80,76,77
2019-12-09,115131,78,78,77,77
2019-12-10,115121,78,79,76,78
2019-12-11,115863,84,78,78,79
2019-12-12,117203,84,78,77,80
2019-12-13,116534,82,81,79,81
2019-12-16,115964,85,82,80,83
2019-12-17,118573,85,83,79,83
2019-12-18,117707,85,85,81,84
2019-12-19,116878,86,85,83,83
2019-12-20,116662,85,85,82,82
2019-12-23,116247,86,88,83,84
2019-12-26,115947,88,86,85,85
2019-12-27,115503,86,88,85,86
2019-12-30,117325,88,89,85,86
2020-01-02,117632,90,89,85,86
2020-01-03,116414,88,89,85,86
2020-01-06,116704,86,90,87,86
2020-01-07,118478,84,90,87,87
2020-01-08,118862,82,89,89,87
2020-01-09,117026,83,90,88,87
2020-01-10,118391,79,89,88,88
2020-01-13,119528,83,91,89,87
2020-01-14,118376,78,90,88,86
2020-01-15,114482,78,90,86,86
2020-01-16,116479,78,90,87,87
2020-01-17,115385,75,89,88,86
2020-01-20,115528,73,91,88,87
2020-01-21,113761,67,89,88,85
2020-01-22,114629,70,90,88,88
2020-01-23,115557,70,91,89,88
2020-01-24,116028,65,86,87,88
2020-01-27,115190,45,82,85,85
2020-01-28,113770,50,82,84,85
2020-01-29,112570,47,83,85,85
2020-01-30,115371,36,81,84,84
2020-01-31,116674,32,77,83,84
2020-02-03,115662,35,79,83,85
2020-02-04,114381,44,79,83,85
2020-02-05,115309,46,82,83,86
2020-02-06,114977,38,80,84,85
2020-02-07,116518,27,74,82,84
